ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
356	"ENSG00000125967.16"	"NECAB3"	chr20	-	33659884	33660395	33659884	33660034	33660258	33660395	356	28,10,22	2,1,2	14,9,18	0,0,0	324	100	0.00341373593076	0.0187371910357	0.812,0.755,0.772	1.0,1.0,1.0	-0.22
4709	"ENSG00000116213.15"	"WRAP73"	chr1	-	3630766	3631657	3630766	3631117	3631465	3631657	4709	67,49,52	36,9,19	69,24,55	7,5,6	448	100	0.00345063111469	0.0189131366006	0.293,0.549,0.379	0.688,0.517,0.672	-0.219
1361	"ENSG00000154545.16"	"MAGED4"	chrX	+	52186396	52187845	52186396	52187230	52187641	52187845	1361	10,3,5	1,0,1	10,10,5	2,2,3	511	100	0.0034780301803	0.0190366133678	0.662,1.0,0.495	0.495,0.495,0.246	0.307
2770	"ENSG00000096080.11"	"MRPS18A"	chr6	-	43675201	43675617	43675201	43675271	43675493	43675617	2770	10,16,16	233,240,209	27,6,37	282,72,250	322	100	0.00348477046155	0.0190468293199	0.013,0.02,0.023	0.029,0.025,0.044	-0.014
2524	"ENSG00000104365.13"	"IKBKB"	chr8	+	42319269	42320844	42319269	42319421	42320734	42320844	2524	282,248,519	7,4,7	326,484,274	2,3,1	1413	100	0.00353399638203	0.0192889076271	0.74,0.814,0.84	0.92,0.919,0.951	-0.132
5146	"ENSG00000145191.12"	"EIF2B5"	chr3	+	184143051	184143565	184143051	184143142	184143441	184143565	5146	99,95,90	50,51,41	129,179,129	167,89,135	399	100	0.00362102366508	0.0197088586116	0.332,0.318,0.355	0.162,0.335,0.193	0.105
5803	"ENSG00000077782.19"	"FGFR1"	chr8	-	38427920	38428435	38427920	38428093	38428345	38428435	5803	8,8,3	27,36,34	56,78,1	168,140,16	352	100	0.00361994027358	0.0197088586116	0.078,0.059,0.024	0.087,0.137,0.017	-0.027
787	"ENSG00000197070.13"	"ARRDC1"	chr9	+	137613614	137614214	137613614	137613769	137614031	137614214	787	23,6,26	107,67,90	13,18,6	29,26,22	362	100	0.00365622302652	0.0198727671594	0.056,0.024,0.074	0.11,0.161,0.07	-0.062
279	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49077911	49076644	49076753	49077836	49077911	279	113,112,121	5,0,1	150,112,221	1,0,0	1183	100	0.00367108568615	0.0199258373076	0.656,1.0,0.911	0.927,1.0,1.0	-0.12
4438	"ENSG00000137207.11"	"YIPF3"	chr6	-	43513068	43513451	43513068	43513200	43513358	43513451	4438	41,27,25	364,312,263	8,14,15	381,171,140	258	100	0.00369494502872	0.0200275245107	0.042,0.032,0.036	0.008,0.031,0.04	0.01
5204	"ENSG00000150433.9"	"TMEM218"	chr11	-	125102131	125102809	125102131	125102317	125102733	125102809	5204	132,130,168	3,7,5	114,91,141	9,8,13	516	100	0.00373262086601	0.0202037151584	0.895,0.783,0.867	0.711,0.688,0.678	0.156
5157	"ENSG00000178761.14"	"FAM219B"	chr15	-	74899991	74902786	74899991	74902063	74902603	74902786	5157	441,413,353	13,9,4	911,763,487	24,31,37	640	100	0.00375702310822	0.0203076712406	0.841,0.878,0.932	0.856,0.794,0.673	0.109
4833	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179616125	179617110	179616125	179616218	179617020	179617110	4833	1367,1469,1501	37,47,46	1762,1722,1387	39,17,34	902	100	0.00380840800279	0.0205569868438	0.804,0.776,0.783	0.834,0.918,0.819	-0.069
3092	"ENSG00000184014.7"	"DENND5A"	chr11	-	9142721	9143485	9142721	9142845	9143402	9143485	3092	52,64,28	49,61,38	37,99,140	154,158,141	657	100	0.00383070734805	0.0206488335396	0.139,0.138,0.101	0.035,0.087,0.131	0.042
4239	"ENSG00000122952.16"	"ZWINT"	chr10	-	56357437	56358459	56357437	56358185	56358376	56358459	4239	60,69,87	157,208,213	129,93,138	278,147,243	291	100	0.00392180085608	0.0211107406964	0.116,0.102,0.123	0.138,0.179,0.163	-0.046
4715	"ENSG00000137312.14"	"FLOT1"	chr6	-	30730681	30731100	30730681	30730727	30730918	30731100	4715	20,7,6	124,43,58	18,15,9	48,46,37	291	100	0.00393344658405	0.0211443043335	0.053,0.053,0.034	0.114,0.101,0.077	-0.051
3291	"ENSG00000147140.15"	"NONO"	chrX	+	71297835	71298508	71297835	71297938	71298468	71298508	3291	1980,1629,1401	744,853,650	1028,1143,1967	744,596,1038	630	100	0.00395202760347	0.0212150053219	0.297,0.233,0.255	0.18,0.233,0.231	0.047
1504	"ENSG00000115282.19"	"TTC31"	chr2	+	74490024	74490473	74490024	74490127	74490243	74490473	1504	6,11,30	14,13,34	9,8,14	27,24,48	216	100	0.00397321152191	0.0212994658815	0.166,0.281,0.29	0.134,0.134,0.119	0.117
3800	"ENSG00000110888.17"	"CAPRIN2"	chr12	-	30719078	30720915	30719078	30719225	30720810	30720915	3800	147,320,336	55,67,52	70,63,385	7,11,41	1685	100	0.00404080673215	0.0216025618457	0.137,0.221,0.277	0.372,0.254,0.358	-0.116
4869	"ENSG00000128159.11"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	4869	12,1,9	8,3,8	1,1,0	0,6,2	171	100	0.00403775716608	0.0216025618457	0.467,0.163,0.397	1.0,0.089,0.0	-0.021
4912	"ENSG00000256223.5"	"ZNF10"	chr12	+	133130610	133131014	133130610	133130754	133130836	133131014	4912	0,0,5	5,2,4	4,8,4	2,3,3	182	100	0.00413968878343	0.0221009614285	0.0,0.0,0.407	0.524,0.594,0.423	-0.378
3355	"ENSG00000204348.9"	"DXO"	chr6	-	31970605	31971147	31970605	31970752	31970911	31971147	3355	91,70,50	3,2,7	41,36,51	7,4,12	259	100	0.00414637014661	0.0221064318321	0.921,0.931,0.734	0.693,0.777,0.621	0.165
5865	"ENSG00000127580.15"	"WDR24"	chr16	-	685868	686186	685868	685990	686067	686186	5865	10,4,6	20,8,8	2,3,1	15,8,13	177	100	0.00415373912955	0.02211554839	0.22,0.22,0.298	0.07,0.175,0.042	0.15
4798	"ENSG00000179262.9"	"RAD23A"	chr19	+	12948685	12949159	12948685	12948813	12949080	12949159	4798	37,43,78	168,80,138	55,37,36	89,49,51	367	100	0.00417491732581	0.0221980638221	0.057,0.128,0.133	0.144,0.171,0.161	-0.053
4906	"ENSG00000120549.17"	"KIAA1217"	chr10	+	24544980	24547843	24544980	24545103	24545826	24547843	4906	31,17,38	2,2,7	5,3,105	7,6,18	823	100	0.00418235565347	0.0222073993122	0.653,0.508,0.397	0.08,0.057,0.415	0.335
3647	"ENSG00000160613.12"	"PCSK7"	chr11	-	117223207	117224216	117223207	117223308	117224077	117224216	3647	143,56,114	21,13,8	86,104,104	54,26,25	869	100	0.00428492304283	0.02272113874	0.439,0.331,0.621	0.155,0.315,0.324	0.199
5951	"ENSG00000105726.16"	"ATP13A1"	chr19	-	19647413	19647759	19647413	19647528	19647598	19647759	5951	9,3,6	45,12,23	2,1,0	19,8,11	170	100	0.00431851775445	0.0228682484883	0.105,0.128,0.133	0.058,0.068,0.0	0.08
736	"ENSG00000137504.13"	"CREBZF"	chr11	-	85660334	85661749	85660334	85660597	85661636	85661749	736	1018,1613,1289	1,5,2	3168,4391,2880	23,10,14	1139	100	0.00442180169562	0.0233834925933	0.989,0.966,0.983	0.924,0.975,0.948	0.03
836	"ENSG00000100911.15"	"PSME2"	chr14	-	24144399	24145155	24144399	24144468	24145057	24145155	836	198,216,173	507,571,427	104,191,229	449,231,300	689	100	0.00446127931777	0.0235603778025	0.054,0.052,0.056	0.033,0.107,0.1	-0.026
2850	"ENSG00000106077.18"	"ABHD11"	chr7	-	73737220	73737735	73737220	73737391	73737561	73737735	2850	5,2,7	2,3,15	59,37,21	27,13,3	270	100	0.00448674018086	0.0236309711951	0.481,0.198,0.147	0.447,0.513,0.722	-0.285
5163	"ENSG00000185024.16"	"BRF1"	chr14	-	105211121	105212164	105211121	105211293	105212112	105212164	5163	33,11,19	11,2,9	9,11,2	11,5,7	919	100	0.00448199790576	0.0236309711951	0.246,0.374,0.187	0.082,0.193,0.03	0.167
2178	"ENSG00000113597.17"	"TRAPPC13"	chr5	+	65660698	65664384	65660698	65660897	65664233	65664384	2178	95,96,78	0,0,1	527,408,479	4,2,1	3436	100	0.0045204851635	0.0237766568223	1.0,1.0,0.694	0.793,0.856,0.933	0.037
4658	"ENSG00000100359.20"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407200	40407328	4658	5,4,4	98,34,57	6,9,3	26,30,26	229	100	0.00453094692023	0.023799651296	0.022,0.049,0.03	0.092,0.116,0.048	-0.052
1695	"ENSG00000169733.11"	"RFNG"	chr17	-	82047901	82049116	82047901	82048807	82049030	82049116	1695	31,3,13	96,46,82	5,2,3	53,38,20	323	100	0.00455920450158	0.0239159344861	0.091,0.02,0.047	0.028,0.016,0.044	0.023
5793	"ENSG00000214941.7"	"ZSWIM7"	chr17	-	15977578	15977913	15977578	15977700	15977799	15977913	5793	16,24,21	4,8,5	102,75,59	5,7,9	199	100	0.00464697660735	0.0243436790637	0.668,0.601,0.679	0.911,0.843,0.767	-0.191
5685	"ENSG00000124593.15"	"RP11-298J23.10"	chr6	+	41783461	41784238	41783461	41783605	41784130	41784238	5685	226,201,126	6,2,8	43,86,196	3,0,0	625	100	0.00471064785545	0.0246441925289	0.858,0.941,0.716	0.696,1.0,1.0	-0.06
3793	"ENSG00000171914.16"	"TLN2"	chr15	+	62753772	62755693	62753772	62753916	62755531	62755693	3793	2,0,0	2,2,4	5,9,0	4,3,3	1715	100	0.00475651963407	0.024850907393	0.055,0.0,0.0	0.068,0.149,0.0	-0.054
4205	"ENSG00000114544.16"	"SLC41A3"	chr3	-	126006362	126007225	126006362	126006564	126007113	126007225	4205	315,278,276	6,6,1	455,284,154	1,0,3	649	100	0.00478849821008	0.024984580781	0.89,0.877,0.977	0.986,1.0,0.888	-0.043
5299	"ENSG00000169727.12"	"GPS1"	chr17	+	82056285	82056550	82056285	82056391	82056469	82056550	5299	50,40,48	235,201,283	34,14,24	265,165,171	178	100	0.00479637762005	0.0249923249855	0.107,0.101,0.087	0.067,0.045,0.073	0.037
3697	"ENSG00000114786.16"	"ABHD14A-ACY1"	chr3	+	51987555	51988603	51987555	51987624	51988523	51988603	3697	35,46,59	39,42,46	34,54,78	37,17,17	999	100	0.00487050777368	0.0253447994401	0.082,0.099,0.114	0.084,0.241,0.315	-0.115
5845	"ENSG00000106462.10"	"EZH2"	chr7	-	148816683	148818117	148816683	148816778	148817876	148818117	5845	554,497,560	11,7,14	1293,1333,2044	20,14,8	1198	100	0.00488245036986	0.0253731596349	0.808,0.856,0.77	0.844,0.888,0.955	-0.084
4238	"ENSG00000122952.16"	"ZWINT"	chr10	-	56360017	56360383	56360017	56360141	56360292	56360383	4238	87,120,95	134,163,160	174,103,161	225,91,154	251	100	0.00489967717525	0.0254288690583	0.206,0.227,0.191	0.236,0.311,0.294	-0.072
4599	"ENSG00000160766.14"	"GBAP1"	chr1	-	155216383	155217029	155216383	155216621	155216856	155217029	4599	2,0,1	4,13,17	15,9,1	67,34,14	335	100	0.00491838890646	0.0254921271173	0.13,0.0,0.017	0.063,0.073,0.021	-0.003
1577	"ENSG00000139190.16"	"VAMP1"	chr12	-	6462236	6464941	6462236	6462842	6464889	6464941	1577	491,372,403	0,0,0	713,921,637	5,2,1	2147	100	0.0049439325408	0.0255905806218	1.0,1.0,1.0	0.869,0.955,0.967	0.07
3438	"ENSG00000161179.13"	"YDJC"	chr22	-	21629307	21629761	21629307	21629407	21629601	21629761	3438	25,5,17	9,0,2	2,1,14	0,0,2	294	100	0.00497406558603	0.0256603407401	0.486,1.0,0.743	1.0,1.0,0.704	-0.158
3867	"ENSG00000106009.15"	"BRAT1"	chr7	-	2542119	2543962	2542119	2542211	2543203	2543962	3867	107,33,75	78,23,71	60,77,25	33,19,15	1092	100	0.00496448808986	0.0256603407401	0.112,0.116,0.088	0.143,0.271,0.132	-0.077
4279	"ENSG00000150990.7"	"DHX37"	chr12	-	124950412	124950804	124950412	124950550	124950689	124950804	4279	5,2,3	16,16,18	1,0,2	33,19,10	239	100	0.00498367416114	0.0256603407401	0.116,0.05,0.065	0.013,0.0,0.077	0.047
657	"ENSG00000164088.17"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595	657	23,35,44	39,20,29	22,9,8	45,18,9	447	100	0.0049789567696	0.0256603407401	0.117,0.281,0.253	0.099,0.101,0.166	0.095
2484	"ENSG00000148334.14"	"PTGES2"	chr9	-	128122361	128123134	128122361	128122646	128122933	128123134	2484	52,27,45	5,0,1	25,30,24	0,0,0	387	100	0.00500440039992	0.0256718012294	0.729,1.0,0.921	1.0,1.0,1.0	-0.117
2677	"ENSG00000166710.17"	"B2M"	chr15	+	44715422	44716356	44715422	44715701	44716328	44716356	2677	260,238,160	2083,2068,1338	160,280,171	2916,2820,1498	727	100	0.00500213187532	0.0256718012294	0.017,0.016,0.016	0.007,0.013,0.015	0.005
4254	"ENSG00000214021.15"	"TTLL3"	chr3	+	9817644	9820741	9817644	9817759	9820545	9820741	4254	1060,790,800	6,1,2	609,845,584	0,0,2	2886	100	0.00500560709744	0.0256718012294	0.86,0.965,0.933	1.0,1.0,0.91	-0.051
3037	"ENSG00000155363.18"	"MOV10"	chr1	+	112698286	112698789	112698286	112698478	112698714	112698789	3037	127,95,116	33,43,42	109,77,40	66,41,28	336	100	0.00502429806413	0.0257338883809	0.534,0.397,0.451	0.33,0.359,0.298	0.132
4124	"ENSG00000064545.14"	"TMEM161A"	chr19	-	19132351	19132754	19132351	19132508	19132656	19132754	4124	3,0,3	63,52,55	4,3,8	61,33,32	248	100	0.00505997297345	0.0258826889794	0.019,0.0,0.022	0.026,0.035,0.092	-0.037
2849	"ENSG00000161217.11"	"PCYT1A"	chr3	-	196247366	196248323	196247366	196247518	196248206	196248323	2849	77,96,81	99,106,73	37,57,44	84,62,88	788	100	0.00506674410159	0.025883445685	0.09,0.103,0.123	0.053,0.104,0.06	0.033
4796	"ENSG00000148399.12"	"DPH7"	chr9	-	137564892	137565154	137564892	137564958	137565084	137565154	4796	24,11,22	76,51,64	19,5,8	98,60,53	226	100	0.00517780064607	0.0264162466382	0.123,0.087,0.132	0.079,0.036,0.063	0.055
2119	"ENSG00000137713.15"	"PPP2R1B"	chr11	-	111742052	111742665	111742052	111742144	111742522	111742665	2119	11,17,24	81,93,98	29,16,28	42,37,137	478	100	0.00519852389911	0.0264873942604	0.028,0.037,0.049	0.126,0.083,0.041	-0.045
1868	"ENSG00000196975.15"	"ANXA4"	chr2	+	69807905	69810673	69807905	69807996	69810593	69810673	1868	19,36,48	48,42,33	16,33,31	18,14,15	2697	100	0.00520957948153	0.0265091622576	0.014,0.031,0.051	0.032,0.08,0.071	-0.029
4027	"ENSG00000114857.17"	"NKTR"	chr3	+	42619019	42619708	42619019	42619127	42619663	42619708	4027	32,59,44	40,56,37	87,73,70	21,52,45	636	100	0.00524920215926	0.0266760494647	0.112,0.142,0.158	0.394,0.181,0.197	-0.12
4207	"ENSG00000116580.18"	"GON4L"	chr1	-	155815804	155816262	155815804	155815900	155816211	155816262	4207	0,7,8	32,45,35	21,3,16	30,48,49	411	100	0.00531121107027	0.0269561206008	0.0,0.036,0.053	0.146,0.015,0.074	-0.049
4553	"ENSG00000177943.13"	"MAMDC4"	chr9	+	136856463	136856826	136856463	136856575	136856709	136856826	4553	3,1,12	10,2,4	22,19,3	3,6,1	234	100	0.00534892367237	0.027112313504	0.114,0.176,0.562	0.758,0.575,0.562	-0.348
3141	"ENSG00000136463.7"	"TACO1"	chr17	+	63606312	63607464	63606312	63606440	63607286	63607464	3141	9,13,22	75,99,112	20,32,38	148,64,124	946	100	0.00536256484032	0.0271462479222	0.013,0.014,0.02	0.014,0.05,0.031	-0.016
1501	"ENSG00000124784.8"	"RIOK1"	chr6	+	7402602	7402897	7402602	7402715	7402816	7402897	1501	12,23,9	120,157,109	10,10,37	66,60,133	201	100	0.00539118977959	0.0272558469064	0.047,0.068,0.039	0.07,0.077,0.122	-0.038
2670	"ENSG00000159363.17"	"ATP13A2"	chr1	-	16986462	16986956	16986462	16986632	16986804	16986956	2670	6,1,0	8,4,6	0,0,0	1,2,3	272	100	0.00543477632271	0.0274337547763	0.216,0.084,0.0	0.0,0.0,0.0	0.1
3868	"ENSG00000106009.15"	"BRAT1"	chr7	-	2539785	2541052	2539785	2539888	2540978	2541052	3868	390,249,425	37,13,33	350,510,150	20,6,6	1190	100	0.00544041963962	0.0274337547763	0.47,0.617,0.52	0.595,0.877,0.678	-0.181
2998	"ENSG00000174483.19"	"BBS1"	chr11	+	66515692	66515933	66515692	66515731	66515860	66515933	2998	10,6,13	21,18,28	5,6,0	33,27,7	229	100	0.00554539355065	0.0279270592731	0.172,0.127,0.169	0.062,0.088,0.0	0.106
4170	"ENSG00000107331.16"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	4170	21,14,15	115,53,101	5,9,4	103,59,41	180	100	0.00558039315156	0.0280671511407	0.092,0.128,0.076	0.026,0.078,0.051	0.047
4789	"ENSG00000149532.15"	"CPSF7"	chr11	-	61415665	61416519	61415665	61415784	61416104	61416519	4789	189,133,143	129,129,103	65,165,99	198,114,104	420	100	0.00562893677627	0.0282749163518	0.259,0.197,0.248	0.072,0.256,0.185	0.064
3786	"ENSG00000145029.13"	"NICN1"	chr3	-	49424948	49425438	49424948	49425053	49425366	49425438	3786	67,52,62	6,10,2	66,67,19	30,11,6	413	100	0.00567988499919	0.0284942112668	0.73,0.557,0.882	0.348,0.596,0.434	0.264
1294	"ENSG00000237765.6"	"FAM200B"	chr4	+	15686235	15687148	15686235	15686462	15687000	15687148	1294	192,227,163	46,47,38	364,346,242	34,38,48	638	100	0.00569740622397	0.0285454660555	0.395,0.431,0.402	0.627,0.588,0.441	-0.143
729	"ENSG00000102312.21"	"PORCN"	chrX	+	48511891	48512507	48511891	48511935	48512325	48512507	729	3,3,7	24,13,8	6,15,12	17,9,13	490	100	0.00581127450664	0.0290786949705	0.025,0.045,0.152	0.067,0.254,0.159	-0.086
541	"ENSG00000116478.11"	"HDAC1"	chr1	+	32331675	32332242	32331675	32331806	32332089	32332242	541	16,13,13	250,344,199	19,21,20	215,166,232	383	100	0.00587891634578	0.0293795461372	0.016,0.01,0.017	0.023,0.032,0.022	-0.011
905	"ENSG00000101557.14"	"USP14"	chr18	+	209970	210493	209970	210031	210385	210493	905	245,314,219	444,706,497	140,146,135	238,180,232	454	100	0.00596136541776	0.0297535326342	0.108,0.089,0.088	0.115,0.152,0.114	-0.032
1267	"ENSG00000151967.18"	"SCHIP1"	chr3	+	159886206	159888943	159886206	159886324	159888819	159888943	1267	189,196,215	0,1,0	1828,1900,495	7,4,1	2595	100	0.00602025078771	0.0299708790807	1.0,0.883,1.0	0.91,0.948,0.95	0.025
273	"ENSG00000167840.13"	"ZNF232"	chr17	-	5108925	5109868	5108925	5109052	5109393	5109868	273	74,84,71	22,29,27	105,73,95	19,14,19	441	100	0.00601924043114	0.0299708790807	0.433,0.396,0.374	0.556,0.542,0.531	-0.142
3522	"ENSG00000130158.13"	"DOCK6"	chr19	-	11202393	11202715	11202393	11202483	11202583	11202715	3522	3,2,9	21,9,21	2,0,1	18,15,1	200	100	0.00605364762	0.0300987975814	0.067,0.1,0.176	0.053,0.0,0.333	-0.014
24	"ENSG00000169598.15"	"DFFB"	chr1	+	3883506	3885429	3883506	3883800	3885037	3885429	24	258,290,330	3,2,3	330,202,814	0,2,1	1337	100	0.00611241432842	0.0303523700069	0.865,0.916,0.892	1.0,0.883,0.984	-0.065
4832	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621397	179620891	179621035	179621241	179621397	4832	659,655,730	684,864,830	1218,1081,805	824,813,974	306	100	0.00620374348588	0.0307667887599	0.239,0.199,0.223	0.326,0.303,0.213	-0.06
4168	"ENSG00000242612.6"	"DECR2"	chr16	+	406684	406952	406684	406833	406889	406952	4168	13,4,9	3,1,3	10,11,25	2,1,0	156	100	0.00623679065975	0.030891480226	0.735,0.719,0.658	0.762,0.876,1.0	-0.175
1014	"ENSG00000102901.12"	"CENPT"	chr16	-	67829764	67831358	67829764	67830548	67831215	67831358	1014	263,159,207	43,22,23	178,142,172	57,29,32	767	100	0.00629357314309	0.0311332706876	0.444,0.485,0.54	0.289,0.39,0.412	0.126
4927	"ENSG00000242372.6"	"EIF6"	chr20	-	35284175	35284492	35284175	35284261	35284380	35284492	4927	27,9,10	386,245,288	7,2,7	356,120,200	219	100	0.00637948002561	0.0315183412643	0.031,0.016,0.016	0.009,0.008,0.016	0.01
2977	"ENSG00000149480.6"	"MTA2"	chr11	-	62597315	62597712	62597315	62597415	62597609	62597712	2977	14,33,35	131,124,165	78,50,47	280,125,178	294	100	0.00639449200698	0.0315526196506	0.035,0.083,0.067	0.087,0.12,0.082	-0.035
90	"ENSG00000132522.15"	"GPS2"	chr17	-	7314487	7315119	7314487	7314597	7314958	7315119	90	34,31,54	54,26,53	87,77,70	61,45,54	461	100	0.00656010283519	0.0323289809331	0.12,0.205,0.181	0.236,0.271,0.219	-0.073
1063	"ENSG00000039523.19"	"FAM65A"	chr16	+	67540457	67540704	67540457	67540501	67540578	67540704	1063	3,1,5	91,72,85	9,4,2	42,52,32	177	100	0.00658197779311	0.0323959310019	0.018,0.008,0.032	0.108,0.042,0.034	-0.042
3579	"ENSG00000175455.14"	"CCDC14"	chr3	-	123956354	123956795	123956354	123956427	123956739	123956795	3579	244,308,394	15,24,20	327,568,304	34,49,37	412	100	0.00660927492983	0.0324893665733	0.798,0.757,0.827	0.7,0.738,0.666	0.093
1955	"ENSG00000182196.13"	"ARL6IP4"	chr12	+	122981128	122981879	122981128	122981299	122981594	122981879	1955	61,35,65	110,62,77	103,77,69	100,69,83	395	100	0.00666031830299	0.0326991506634	0.123,0.125,0.176	0.207,0.22,0.174	-0.059
1286	"ENSG00000125450.10"	"NUP85"	chr17	+	75234636	75235201	75234636	75234788	75235099	75235201	1286	112,106,139	75,93,82	92,89,123	178,71,99	411	100	0.00670817327958	0.0328927743747	0.267,0.217,0.292	0.112,0.234,0.232	0.066
43	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832958	55833541	55832958	55833038	55833446	55833541	43	43,23,55	0,0,0	109,96,156	2,0,5	508	100	0.00674755751794	0.033044429549	1.0,1.0,1.0	0.915,1.0,0.86	0.075
430	"ENSG00000090581.9"	"GNPTG"	chr16	+	1362205	1362742	1362205	1362534	1362610	1362742	430	4,3,6	57,22,39	4,1,1	82,63,43	176	100	0.00677095129998	0.0331174939679	0.038,0.072,0.08	0.027,0.009,0.013	0.047
2084	"ENSG00000168488.18"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836122	28836727	28837237	2084	707,452,513	5,6,7	373,325,380	12,2,15	705	100	0.00679736039623	0.0332051055356	0.953,0.914,0.912	0.815,0.958,0.782	0.075
3242	"ENSG00000108591.9"	"DRG2"	chr17	+	18099632	18100435	18099632	18099723	18100362	18100435	3242	42,18,24	25,17,19	67,36,73	22,19,28	739	100	0.00680869449668	0.0332189489301	0.185,0.125,0.146	0.292,0.204,0.261	-0.1
3585	"ENSG00000130508.10"	"PXDN"	chr2	-	1663604	1665074	1663604	1663763	1664957	1665074	3585	21,14,16	56,19,43	32,60,45	59,68,54	1294	100	0.00699425176066	0.0340392725787	0.028,0.054,0.028	0.04,0.064,0.061	-0.018
5568	"ENSG00000196118.11"	"CCDC189"	chr16	-	30759011	30759247	30759011	30759101	30759177	30759247	5568	4,1,1	2,4,3	1,1,0	8,2,5	176	100	0.00699343797844	0.0340392725787	0.532,0.124,0.159	0.066,0.221,0.0	0.176
480	"ENSG00000178149.16"	"DALRD3"	chr3	-	49015972	49016340	49015972	49016086	49016157	49016340	480	9,18,16	47,52,48	44,24,11	73,41,4	171	100	0.00704839150434	0.0342600920385	0.101,0.168,0.163	0.261,0.255,0.617	-0.234
1832	"ENSG00000167671.11"	"UBXN6"	chr19	-	4446499	4446920	4446499	4446719	4446835	4446920	1832	6,5,4	135,61,72	5,4,9	59,27,23	216	100	0.00707228839368	0.0343335441522	0.02,0.037,0.025	0.038,0.064,0.153	-0.058
740	"ENSG00000251022.6"	"THAP9-AS1"	chr4	-	82900076	82900566	82900076	82900223	82900333	82900566	740	6,4,10	124,164,163	12,12,13	116,118,159	210	100	0.00708864971277	0.0343702767711	0.023,0.011,0.028	0.047,0.046,0.037	-0.023
5753	"ENSG00000100938.17"	"GMPR2"	chr14	+	24238245	24239239	24238245	24238405	24238588	24239239	5753	143,128,111	179,103,156	52,41,51	120,68,65	283	100	0.00713912227113	0.0345721063638	0.22,0.305,0.201	0.133,0.176,0.217	0.067
370	"ENSG00000089053.12"	"ANAPC5"	chr12	-	121318276	121318608	121318276	121318424	121318500	121318608	370	106,96,83	501,556,555	28,17,38	196,159,343	176	100	0.0071715441651	0.0346861319272	0.107,0.089,0.078	0.075,0.057,0.059	0.028
778	"ENSG00000090316.15"	"MAEA"	chr4	+	1336860	1338617	1336860	1336994	1338421	1338617	778	60,29,36	67,41,67	63,35,47	49,33,40	1527	100	0.00719097215708	0.0347371065388	0.055,0.044,0.034	0.078,0.065,0.071	-0.027
475	"ENSG00000085978.21"	"ATG16L1"	chr2	+	233289853	233290353	233289853	233289974	233290247	233290353	475	19,19,30	22,33,26	39,41,23	30,23,8	373	100	0.00731233539279	0.0352797613766	0.188,0.134,0.236	0.258,0.323,0.435	-0.153
2595	"ENSG00000072778.19"	"ACADVL"	chr17	+	7224320	7224552	7224320	7224393	7224483	7224552	2595	20,5,15	10,2,8	4,6,3	8,5,7	190	100	0.0075637130461	0.0364310513424	0.513,0.568,0.497	0.208,0.387,0.184	0.266
3617	"ENSG00000132274.15"	"TRIM22"	chr11	+	5697247	5698545	5697247	5697343	5698314	5698545	3617	1,6,0	0,0,1	53,35,3	4,3,1	1071	100	0.00756960432191	0.0364310513424	1.0,1.0,0.0	0.553,0.521,0.219	0.236
2260	"ENSG00000131652.13"	"THOC6"	chr16	+	3025923	3026166	3025923	3025988	3026062	3026166	2260	13,12,14	66,79,81	14,8,18	56,20,35	174	100	0.00758201818027	0.0364459127288	0.102,0.08,0.09	0.126,0.187,0.228	-0.09
2885	"ENSG00000124006.14"	"OBSL1"	chr2	-	219550728	219551798	219550728	219550842	219551528	219551798	2885	21,32,38	2,0,2	34,30,4	8,3,2	786	100	0.00774730468885	0.0371490389252	0.572,1.0,0.707	0.351,0.56,0.203	0.388
3734	"ENSG00000159348.12"	"CYB5R1"	chr1	-	202965886	202966600	202965886	202965993	202966527	202966600	3734	12,26,34	20,12,16	14,23,24	46,30,19	634	100	0.00773807687398	0.0371490389252	0.086,0.255,0.251	0.046,0.108,0.166	0.091
1177	"ENSG00000128567.16"	"PODXL"	chr7	-	131508950	131509585	131508950	131509028	131509364	131509585	1177	25,12,20	25,8,21	12,36,23	50,52,34	436	100	0.00778752777427	0.037216835208	0.187,0.256,0.179	0.052,0.137,0.134	0.1
246	"ENSG00000100316.15"	"RPL3"	chr22	-	39312883	39313310	39312883	39312984	39313190	39313310	246	44,44,62	141,171,219	14,14,20	77,62,139	306	100	0.00779001310136	0.037216835208	0.093,0.078,0.085	0.056,0.069,0.045	0.029
